Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Windows\System32\AppxStreamingDataSourcePS.dll,AppxStreamingDataSourcePS.dll,.dll,0.04,2025-06-22 13:11,,NO
C:\Windows\System32\AppxSysprep.dll,AppxSysprep.dll,.dll,0.21,2025-10-29 07:54,,NO
C:\Windows\System32\Apx01000.dll,Apx01000.dll,.dll,0.22,2025-10-29 07:54,,NO
C:\Windows\System32\ApxSvc.dll,ApxSvc.dll,.dll,0.07,2025-06-22 13:07,,NO
C:\Windows\System32\archiveint.dll,archiveint.dll,.dll,1.39,2025-10-29 07:52,,NO
C:\Windows\System32\ARP.EXE,ARP.EXE,.exe,0.05,2025-06-22 13:20,,NO
C:\Windows\System32\asferror.dll,asferror.dll,.dll,0.01,2024-04-01 11:03,,NO
C:\Windows\System32\aspnet_counters.dll,aspnet_counters.dll,.dll,0.03,2025-06-19 01:05,,NO
C:\Windows\System32\AssignedAccessCsp.dll,AssignedAccessCsp.dll,.dll,0.5,2025-10-29 07:53,,NO
C:\Windows\System32\AssignedAccessGuard.exe,AssignedAccessGuard.exe,.exe,0.13,2025-06-25 12:27,,NO
C:\Windows\System32\AssignedAccessManager.dll,AssignedAccessManager.dll,.dll,0.59,2025-10-29 07:54,,NO
C:\Windows\System32\assignedaccessmanagersvc.dll,assignedaccessmanagersvc.dll,.dll,0.87,2025-10-29 07:54,,NO
C:\Windows\System32\assignedaccessproviderevents.dll,assignedaccessproviderevents.dll,.dll,0.03,2024-04-01 11:03,,NO
C:\Windows\System32\AssignedAccessRuntime.dll,AssignedAccessRuntime.dll,.dll,0.09,2025-10-29 07:54,,NO
C:\Windows\System32\AssignedAccessShellProxy.dll,AssignedAccessShellProxy.dll,.dll,0.15,2025-10-29 07:54,,NO
C:\Windows\System32\asycfilt.dll,asycfilt.dll,.dll,0.11,2024-04-01 10:22,,NO
C:\Windows\System32\at.exe,at.exe,.exe,0.05,2025-06-22 13:16,,NO
C:\Windows\System32\AtBroker.exe,AtBroker.exe,.exe,0.14,2025-10-29 07:54,,NO
C:\Windows\System32\atl.dll,atl.dll,.dll,0.12,2025-08-29 21:53,,NO
C:\Windows\System32\atl100.dll,atl100.dll,.dll,0.15,2015-07-31 09:58,,NO
C:\Windows\System32\atl110.dll,atl110.dll,.dll,0.17,2015-07-31 09:58,,NO
C:\Windows\System32\atlthunk.dll,atlthunk.dll,.dll,0.05,2024-04-01 10:22,,NO
C:\Windows\System32\atmlib.dll,atmlib.dll,.dll,0.08,2025-10-29 07:58,,NO
C:\Windows\System32\attrib.exe,attrib.exe,.exe,0.04,2024-04-01 10:22,,NO
C:\Windows\System32\audiodg.exe,audiodg.exe,.exe,0.84,2025-10-29 07:54,,NO
C:\Windows\System32\AudioEndpointBuilder.dll,AudioEndpointBuilder.dll,.dll,0.62,2025-10-29 07:54,,NO
C:\Windows\System32\AudioEng.dll,AudioEng.dll,.dll,1.92,2025-10-29 07:54,,NO
C:\Windows\System32\AudioHandlers.dll,AudioHandlers.dll,.dll,0.73,2025-10-29 08:06,,NO
C:\Windows\System32\AUDIOKSE.dll,AUDIOKSE.dll,.dll,0.46,2025-10-29 07:54,,NO
C:\Windows\System32\audioresourceregistrar.dll,audioresourceregistrar.dll,.dll,0.1,2025-07-22 23:34,,NO
C:\Windows\System32\AudioSes.dll,AudioSes.dll,.dll,1.72,2025-10-29 07:54,,NO
C:\Windows\System32\audiosrv.dll,audiosrv.dll,.dll,1.97,2025-10-29 07:54,,NO
C:\Windows\System32\AudioSrvPolicyManager.dll,AudioSrvPolicyManager.dll,.dll,0.44,2025-10-29 07:54,,NO
C:\Windows\System32\auditcse.dll,auditcse.dll,.dll,0.18,2025-10-29 08:04,,NO
C:\Windows\System32\AuditNativeSnapIn.dll,AuditNativeSnapIn.dll,.dll,0.14,2025-06-25 12:27,,NO
C:\Windows\System32\auditpol.exe,auditpol.exe,.exe,0.06,2025-06-22 13:20,,NO
C:\Windows\System32\auditpolcore.dll,auditpolcore.dll,.dll,0.1,2025-06-22 13:20,,NO
C:\Windows\System32\AuditPolicyGPInterop.dll,AuditPolicyGPInterop.dll,.dll,0.09,2025-06-25 12:27,,NO
C:\Windows\System32\auditpolmsg.dll,auditpolmsg.dll,.dll,0.1,2025-06-25 12:27,,NO
C:\Windows\System32\AuthBroker.dll,AuthBroker.dll,.dll,0.21,2025-10-29 08:02,,NO
C:\Windows\System32\AuthBrokerUI.dll,AuthBrokerUI.dll,.dll,0.15,2025-06-22 13:15,,NO
C:\Windows\System32\AuthExt.dll,AuthExt.dll,.dll,0.09,2025-10-29 07:54,,NO
C:\Windows\System32\authfwcfg.dll,authfwcfg.dll,.dll,0.35,2025-10-29 08:09,,NO
C:\Windows\System32\AuthFWGP.dll,AuthFWGP.dll,.dll,0.05,2025-06-22 13:14,,NO
C:\Windows\System32\AuthFWSnapin.dll,AuthFWSnapin.dll,.dll,5.29,2025-10-29 08:09,,NO
C:\Windows\System32\AuthFWWizFwk.dll,AuthFWWizFwk.dll,.dll,0.11,2024-04-01 10:22,,NO
C:\Windows\System32\AuthHost.exe,AuthHost.exe,.exe,0.15,2025-10-29 08:04,,NO
C:\Windows\System32\AuthHostProxy.dll,AuthHostProxy.dll,.dll,0.04,2025-10-29 08:04,,NO
C:\Windows\System32\authui.dll,authui.dll,.dll,0.26,2025-10-29 07:54,,NO
C:\Windows\System32\authz.dll,authz.dll,.dll,0.31,2025-10-29 08:04,,NO
C:\Windows\System32\autochk.exe,autochk.exe,.exe,1.0,2024-04-01 10:22,,NO
C:\Windows\System32\autofstx.exe,autofstx.exe,.exe,0.09,2025-10-01 02:32,,NO
C:\Windows\System32\AutomaticAppSignInPolicy.dll,AutomaticAppSignInPolicy.dll,.dll,0.07,2025-06-27 11:21,,NO
C:\Windows\System32\autopilot.dll,autopilot.dll,.dll,0.21,2025-10-15 07:51,,NO
C:\Windows\System32\autopilotdiag.dll,autopilotdiag.dll,.dll,0.06,2025-06-22 13:08,,NO
C:\Windows\System32\autoplay.dll,autoplay.dll,.dll,0.19,2025-08-29 21:53,,NO
C:\Windows\System32\autotimesvc.dll,autotimesvc.dll,.dll,0.13,2025-06-22 13:23,,NO
C:\Windows\System32\avicap32.dll,avicap32.dll,.dll,0.11,2025-06-22 13:22,,NO
C:\Windows\System32\avifil32.dll,avifil32.dll,.dll,0.14,2025-08-29 22:07,,NO
C:\Windows\System32\avrt.dll,avrt.dll,.dll,0.05,2025-06-25 12:31,,NO
C:\Windows\System32\AxInstSv.dll,AxInstSv.dll,.dll,0.16,2025-10-29 07:54,,NO
C:\Windows\System32\AxInstUI.exe,AxInstUI.exe,.exe,0.08,2025-06-22 13:15,,NO
C:\Windows\System32\azroles.dll,azroles.dll,.dll,0.62,2025-06-22 13:20,,NO
C:\Windows\System32\azroleui.dll,azroleui.dll,.dll,0.41,2025-06-22 13:22,,NO
C:\Windows\System32\AzSqlExt.dll,AzSqlExt.dll,.dll,0.05,2025-06-22 13:21,,NO
C:\Windows\System32\BackgroundMediaPolicy.dll,BackgroundMediaPolicy.dll,.dll,0.09,2025-06-22 13:12,,NO
C:\Windows\System32\backgroundTaskHost.exe,backgroundTaskHost.exe,.exe,0.05,2024-04-01 10:22,,NO
C:\Windows\System32\BackgroundTransferHost.exe,BackgroundTransferHost.exe,.exe,0.06,2024-04-01 10:22,,NO
C:\Windows\System32\BamSettingsClient.dll,BamSettingsClient.dll,.dll,0.04,2025-06-22 13:11,,NO
C:\Windows\System32\BarcodeProvisioningPlugin.dll,BarcodeProvisioningPlugin.dll,.dll,0.11,2025-08-29 22:03,,NO
C:\Windows\System32\basecsp.dll,basecsp.dll,.dll,0.25,2025-08-29 22:05,,NO
C:\Windows\System32\basesrv.dll,basesrv.dll,.dll,0.1,2025-10-29 07:54,,NO
C:\Windows\System32\batmeter.dll,batmeter.dll,.dll,0.12,2025-10-29 07:54,,NO
C:\Windows\System32\bcastdvr.proxy.dll,bcastdvr.proxy.dll,.dll,0.21,2025-06-22 13:09,,NO
C:\Windows\System32\BcastDVRBroker.dll,BcastDVRBroker.dll,.dll,0.12,2025-06-22 13:09,,NO
C:\Windows\System32\BcastDVRClient.dll,BcastDVRClient.dll,.dll,0.46,2025-06-22 13:09,,NO
C:\Windows\System32\BcastDVRCommon.dll,BcastDVRCommon.dll,.dll,0.27,2025-06-22 13:09,,NO
C:\Windows\System32\bcastdvruserservice.dll,bcastdvruserservice.dll,.dll,1.36,2025-10-29 07:52,,NO
C:\Windows\System32\bcd.dll,bcd.dll,.dll,0.16,2025-06-25 12:27,,NO
C:\Windows\System32\bcdboot.exe,bcdboot.exe,.exe,0.27,2025-07-09 02:15,,NO
